                ISG - VALIDATOR                  EXECUTION ID: 14             05/07/2018 22:13:18:845
Parameter Name, Parameter Type, Pre-ISG Count, Post-ISG Count, Count Difference, Start Time, End Time, Status, Response
Indexes,COUNT,1527,1561,34,,,,
Error Tables,COUNT,82,90,8,,,,
Net change Tables,COUNT,33,41,8,,,,
GT Tables,COUNT,82,90,8,,,,
Cumulative Tables,COUNT,822,785,-37,,,,
User Activities,COUNT,374,390,16,,,,
Version Tables,COUNT,82,90,8,,,,
Master Tables,COUNT,82,90,8,,,,
Native Tables,COUNT,3,3,0,,,,
Non MDM Views,COUNT,4,4,0,,,,
Net change SQLs,COUNT,454,454,0,,,,
Foreign Keys,COUNT,125,125,0,,,,
Publication Objects,COUNT,0,0,0,,,,
Macros,COUNT,22,22,0,,,,
Output Tables,COUNT,82,90,8,,,,
Business Rules,COUNT,65,65,0,,,,
Default Business Rules,COUNT,1858,1858,0,,,,
Cumulative Views,COUNT,297,313,16,,,,
Relational Objects,COUNT,11,11,0,,,,
Input Tables,COUNT,33,41,8,,,,
Left Nav URLs,COUNT,397,413,16,,,,
Left Nav Entries,COUNT,304,322,18,,,,
Cumulative Columns,COUNT,23059,23471,412,,,,
Temporal Tables,COUNT,0,0,0,,,,
MDM Views,COUNT,17,17,0,,,,
Facets,COUNT,8034,8650,616,,,,
Stored Procedures,COUNT,264,264,0,,,,
xservice/mdmservices/modules/dataupload/staticdata/LRDM_entity_templates.xml,STEP,,,,2018-05-07_22:09:12.0,2018-05-07_22:09:12.0,SUCCESSFUL,
Seed Data Upload,STEP,,,,2018-05-07_22:08:43.0,2018-05-07_22:08:43.0,SUCCESSFUL,
xservice/toolkit/staticdata/PopulateSysTableColMap.xml,STEP,,,,2018-05-07_22:09:03.0,2018-05-07_22:09:03.0,SUCCESSFUL,
mdm_setup/correlation.xml,STEP,,,,2018-05-07_22:09:13.0,2018-05-07_22:09:13.0,SUCCESSFUL,
mdm_setup/docViews.xml,STEP,,,,2018-05-07_22:09:13.0,2018-05-07_22:09:13.0,SUCCESSFUL,
xservice/mdmservices/modules/common/staticdata/isg/modelBuilder_Req.xml,STEP,,,,2018-05-07_22:09:13.0,2018-05-07_22:09:13.0,SUCCESSFUL,
xservice/toolkit/staticdata/outputStagingServiceStaticData.xml,STEP,,,,2018-05-07_22:09:03.0,,SKIP,
xservice/mdmservices/modules/businessrules/staticdata/BusinessRuleSeedData.xml,STEP,,,,2018-05-07_22:13:07.0,2018-05-07_22:13:07.0,SUCCESSFUL,
Publication Objects Generation,STEP,,,,2018-05-07_22:08:43.0,,SKIP,
Schema Generation,STEP,,,,2018-05-07_22:01:29.0,2018-05-07_22:01:29.0,SUCCESSFUL,
xservice/mdmservices/modules/common/staticdata/isg/metadataCleanup.xml,STEP,,,,2018-05-07_22:08:54.0,2018-05-07_22:08:54.0,SUCCESSFUL,
xservice/mdmservices/modules/common/staticdata/isg/populateNCSQLs.xml,STEP,,,,2018-05-07_22:09:33.0,2018-05-07_22:09:33.0,SUCCESSFUL,
xservice/mdmservices/modules/configurableworkflow/staticdata/configUI_AutoGen_Req.xml,STEP,,,,2018-05-07_22:12:48.0,2018-05-07_22:12:48.0,SUCCESSFUL,
mdm_setup/entity_templates.xml,STEP,,,,2018-05-07_22:09:06.0,2018-05-07_22:09:06.0,SUCCESSFUL,
PopulateSysViewMap,STEP,,,,2018-05-07_22:13:13.0,2018-05-07_22:13:13.0,SUCCESSFUL,
Stored Procedure Compilation,STEP,,,,2018-05-07_22:01:53.0,2018-05-07_22:01:53.0,SUCCESSFUL,
xservice/mdmservices/modules/common/staticdata/isg/createGTT.xml,STEP,,,,2018-05-07_22:09:34.0,2018-05-07_22:09:34.0,SUCCESSFUL,
xservice/mdmservices/modules/extendedattributes/staticdata/MigrateExtAttrBusniessRules.xml,STEP,,,,2018-05-07_22:09:38.0,2018-05-07_22:09:38.0,SUCCESSFUL,
../cfg/xservice/VZC_CDI/mdm_setup/facets,STEP,,,,2018-05-07_22:08:43.0,2018-05-07_22:08:43.0,SUCCESSFUL,
xservice/mdmservices/modules/extendedattributes/staticdata/migrateExtendedAttrs.xml,STEP,,,,2018-05-07_22:09:39.0,2018-05-07_22:09:39.0,SUCCESSFUL,
mdm_setup/nativeDocuments.xml,STEP,,,,2018-05-07_22:09:13.0,2018-05-07_22:09:13.0,SUCCESSFUL,
xservice/mdmservices/modules/businessrules/staticdata/refreshDefaultRules.xml,STEP,,,,2018-05-07_22:09:55.0,2018-05-07_22:09:55.0,SUCCESSFUL,
xservice/mdmservices/modules/common/staticdata/isg/tk_incr_userActivities.xml,STEP,,,,2018-05-07_22:09:02.0,2018-05-07_22:09:02.0,SUCCESSFUL,
xservice/platform/modules/common/staticdata/refreshSysDBC.xml,STEP,,,,2018-05-07_22:09:39.0,2018-05-07_22:09:39.0,SUCCESSFUL,
